Year,"Gota River near Sjotop-Vannersburg, Sweden, 1807-1957",
1807,410.701,
1808,387.676,
1809,375.36,
1810,417.662,
1811,539.212,
1812,542.425,
1813,424.623,
1814,530.645,
1815,559.024,
1816,701.458,
1817,683.252,
1818,517.258,
1819,443.364,
1820,510.297,
1821,499.588,
1822,546.174,
1823,635.06,
1824,613.107,
1825,599.185,
1826,497.446,
1827,515.652,
1828,561.167,
1829,600.255,
1830,719.129,
1831,621.138,
1832,540.283,
1833,651.124,
1834,541.354,
1835,505.478,
1836,591.153,
1837,591.153,
1838,651.124,
1839,609.358,
1840,631.312,
1841,708.419,
1842,471.208,
1843,399.456,
1844,493.698,
1845,635.06,
1846,569.198,
1847,526.361,
1848,604.539,
1849,529.574,
1850,610.429,
1851,683.252,
1852,683.252,
1853,511.368,
1854,365.722,
1855,398.385,
1856,441.758,
1857,382.321,
1858,353.406,
1859,484.595,
1860,738.405,
1861,589.546,
1862,617.39,
1863,574.553,
1864,471.208,
1865,504.407,
1866,704.135,
1867,695.033,
1868,596.507,
1869,545.638,
1870,484.595,
1871,456.215,
1872,710.026,
1873,719.129,
1874,560.631,
1875,415.52,
1876,487.273,
1877,596.507,
1878,501.194,
1879,514.581,
1880,388.747,
1881,592.223,
1882,637.202,
1883,637.202,
1884,540.283,
1885,588.475,
1886,451.396,
1887,432.655,
1888,481.382,
1889,487.273,
1890,540.283,
1891,549.386,
1892,480.311,
1893,546.174,
1894,582.585,
1895,616.319,
1896,554.205,
1897,620.067,
1898,678.433,
1899,542.425,
1900,500.659,
1901,354.477,
1902,508.691,
1903,600.255,
1904,471.208,
1905,429.442,
1906,458.357,
1907,578.301,
1908,513.51,
1909,720.2,
1910,617.39,
1911,497.446,
1912,620.067,
1913,512.439,
1914,377.502,
1915,484.595,
1916,535.464,
1917,507.62,
1918,485.666,
1919,530.645,
1920,532.251,
1921,375.36,
1922,370.541,
1923,581.514,
1924,699.316,
1925,479.24,
1926,615.248,
1927,694.497,
1928,625.422,
1929,652.196,
1930,647.376,
1931,521.542,
1932,446.577,
1933,341.626,
1934,530.645,
1935,641.486,
1936,584.191,
1937,477.634,
1938,546.174,
1939,465.318,
1940,413.378,
1941,324.491,
1942,395.708,
1943,435.332,
1944,628.1,
1945,490.485,
1946,471.208,
1947,321.814,
1948,385.534,
1949,511.368,
1950,635.06,
1951,610.429,
1952,531.18,
1953,561.167,
1954,601.326,
1955,414.449,
1956,411.772,
,,
Gota River near Sjotop-Vannersburg, Sweden, 1807-1957
